"bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","species"
42.3,21.2,191,4150,"Adelie"
41.6,18,192,3950,"Adelie"
35.5,17.5,190,3700,"Adelie"
40.2,17,176,3450,"Adelie"
39.7,18.4,190,3900,"Adelie"
37.8,18.3,174,3400,"Adelie"
39.3,20.6,190,3650,"Adelie"
37.9,18.6,193,2925,"Adelie"
40.3,18,195,3250,"Adelie"
36.5,16.6,181,2850,"Adelie"
40.3,18.5,196,4350,"Adelie"
36,18.5,186,3100,"Adelie"
44.1,19.7,196,4400,"Adelie"
36.6,17.8,185,3700,"Adelie"
38.8,17.6,191,3275,"Adelie"
34.1,18.1,193,3475,"Adelie"
35.9,16.6,190,3050,"Adelie"
36.3,19.5,190,3800,"Adelie"
34.4,18.4,184,3325,"Adelie"
41.8,19.4,198,4450,"Adelie"
36.7,19.3,193,3450,"Adelie"
33.1,16.1,178,2900,"Adelie"
39.6,17.7,186,3500,"Adelie"
38.3,19.2,189,3950,"Adelie"
36,17.8,195,3450,"Adelie"
51.5,16.3,230,5500,"notAdelie"
46.5,13.5,210,4550,"notAdelie"
46.6,17.8,193,3800,"notAdelie"
48.7,14.1,210,4450,"notAdelie"
48.8,16.2,222,6000,"notAdelie"
52,19,197,4150,"notAdelie"
50,16.3,230,5700,"notAdelie"
55.9,17,228,5600,"notAdelie"
48.7,15.7,208,5350,"notAdelie"
47.6,14.5,215,5400,"notAdelie"
50.7,19.7,203,4050,"notAdelie"
47.2,15.5,215,4975,"notAdelie"
43.3,14,208,4575,"notAdelie"
48.2,15.6,221,5100,"notAdelie"
43.5,14.2,220,4700,"notAdelie"
43.5,18.1,202,3400,"notAdelie"
52.5,15.6,221,5450,"notAdelie"
43.5,15.2,213,4650,"notAdelie"
43.2,16.6,187,2900,"notAdelie"
48.1,15.1,209,5500,"notAdelie"
43.8,13.9,208,4300,"notAdelie"
47.5,15,218,4950,"notAdelie"
50.1,15,225,5000,"notAdelie"
48.2,14.3,210,4600,"notAdelie"
53.4,15.8,219,5500,"notAdelie"
44.9,13.8,212,4750,"notAdelie"
51.3,19.2,193,3650,"notAdelie"
49.8,15.9,229,5950,"notAdelie"
48.5,17.5,191,3400,"notAdelie"
46.1,13.2,211,4500,"notAdelie"
45.3,13.7,210,4300,"notAdelie"
52.8,20,205,4550,"notAdelie"
46,18.9,195,4150,"notAdelie"
49.4,15.8,216,4925,"notAdelie"
42.9,13.1,215,5000,"notAdelie"
45.7,13.9,214,4400,"notAdelie"
50.6,19.4,193,3800,"notAdelie"
45.5,13.9,210,4200,"notAdelie"
51.7,20.3,194,3775,"notAdelie"
46.2,14.9,221,5300,"notAdelie"
46.9,16.6,192,2700,"notAdelie"
59.6,17,230,6050,"notAdelie"
46.4,18.6,190,3450,"notAdelie"
50.8,17.3,228,5600,"notAdelie"
44.5,14.7,214,4850,"notAdelie"
43.4,14.4,218,4600,"notAdelie"
46.1,15.1,215,5100,"notAdelie"
42.7,13.7,208,3950,"notAdelie"
45.8,14.2,219,4700,"notAdelie"
45,15.4,220,5050,"notAdelie"
